customer_id,customer_name,segment,region,province,signup_date,gender,age_group,loyalty_member
C00059,Mint H.,SMB,Central,Chonburi,2023-08-27,Male,35-44,No
C00060,Ahmed K.,SMB,Northeast,Nakhon Ratchasima,2022-08-11,Female,45-54,No
C00061,Ploy P.,Consumer,Northeast,Nakhon Ratchasima,2022-09-23,Male,55+,Yes
C00062,Prasert N.,Consumer,Bangkok,Bangkok,2023-12-26,Female,35-44,No
C00063,Kanya G.,Consumer,Bangkok,Bangkok,2021-11-22,Male,45-54,No
C00064,Prasert R.,Corporate,South,Phuket,2023-08-15,Male,35-44,Yes
C00065,Tanawat T.,SMB,Central,Ayutthaya,2023-05-04,Female,45-54,No
C00066,Wei W.,Consumer,Central,Nakhon Pathom,2023-03-23,Prefer not to say,25-34,Yes
C00067,Noon F.,Consumer,North,Chiang Mai,2021-09-12,Male,18-24,No
C00068,Fah H.,Consumer,North,Lampang,2022-06-09,Prefer not to say,45-54,No
C00069,Krit C.,Consumer,South,Krabi,2023-08-11,Female,25-34,Yes
C00070,Ton B.,Consumer,North,Chiang Mai,2022-12-13,Female,55+,No
C00071,Ahmed V.,Consumer,Central,Rayong,2023-02-08,Prefer not to say,25-34,Yes
C00072,Aek F.,SMB,South,Phuket,2022-02-08,Prefer not to say,18-24,No
C00073,Chai C.,Consumer,Northeast,Khon Kaen,2023-10-09,Male,25-34,Yes
C00074,Priya P.,Consumer,Central,Ayutthaya,2023-10-22,Female,35-44,Yes
C00075,Anan V.,Corporate,North,Chiang Rai,2021-11-02,Prefer not to say,45-54,No
C00076,Noon A.,Consumer,South,Phuket,2023-12-09,Prefer not to say,45-54,No
C00077,Anan P.,Consumer,North,Chiang Mai,2023-03-05,Female,45-54,Yes
C00078,Yuki R.,Consumer,Bangkok,Bangkok,2022-02-20,Male,45-54,Yes
C00079,Noon R.,SMB,Bangkok,Nonthaburi,2022-04-29,Male,18-24,No
C00080,Suda A.,Consumer,Northeast,Nakhon Ratchasima,2022-08-03,Female,35-44,No
C00081,Prasert N.,Corporate,South,Surat Thani,2021-09-22,Prefer not to say,25-34,Yes
C00082,Emily W.,Consumer,Northeast,Khon Kaen,2023-06-19,Female,55+,No
C00083,Sofia B.,SMB,Northeast,Ubon Ratchathani,2022-11-12,Female,25-34,Yes
C00084,Ploy M.,Corporate,Bangkok,Pathum Thani,2023-12-08,Male,18-24,No
C00085,Pim A.,SMB,North,Lampang,2021-07-28,Male,35-44,No
C00086,Ploy W.,Consumer,Bangkok,Pathum Thani,2022-02-22,Female,18-24,No
C00087,Mei W.,Consumer,Northeast,Khon Kaen,2021-11-05,Male,35-44,Yes
C00088,Boon N.,Consumer,North,Chiang Rai,2022-08-19,Female,25-34,No
C00089,Boon H.,Consumer,Northeast,Khon Kaen,2022-09-15,Female,18-24,Yes
C00090,Noon A.,Corporate,Northeast,Udon Thani,2021-09-25,Male,18-24,Yes
C00091,Wichai A.,Consumer,South,Krabi,2022-11-24,Prefer not to say,55+,No
C00092,Fah T.,Consumer,North,Lampang,2022-01-05,Prefer not to say,18-24,Yes
C00093,Emily E.,Corporate,Bangkok,Pathum Thani,2022-01-12,Prefer not to say,25-34,No
C00094,Emily B.,Corporate,Central,Ayutthaya,2023-12-27,Female,25-34,Yes
C00095,Fah P.,Corporate,North,Lampang,2022-02-17,Female,55+,Yes
C00096,Mei K.,SMB,South,Surat Thani,2022-06-17,Prefer not to say,35-44,Yes
C00097,Fah E.,Consumer,North,Phitsanulok,2021-11-11,Male,25-34,Yes
C00098,Krit T.,Consumer,North,Chiang Mai,2023-05-04,Male,25-34,Yes
C00099,Tanawat F.,Corporate,Central,Rayong,2023-10-16,Female,35-44,No
C00100,Wei N.,Corporate,Northeast,Ubon Ratchathani,2022-09-09,Male,45-54,Yes
C00101,Ton M.,SMB,Bangkok,Pathum Thani,2021-12-22,Male,18-24,Yes
C00102,Pim B.,Consumer,Central,Nakhon Pathom,2021-07-22,Female,35-44,Yes
C00103,Noon S.,SMB,Bangkok,Pathum Thani,2021-08-17,Female,35-44,Yes
C00104,Nok K.,Corporate,Northeast,Udon Thani,2022-07-09,Male,18-24,Yes
C00105,Priya L.,Consumer,Central,Ayutthaya,2023-07-11,Female,55+,No
C00106,Aek C.,Consumer,North,Chiang Mai,2022-03-22,Female,25-34,Yes
C00107,Yuki P.,SMB,North,Chiang Rai,2023-05-03,Male,55+,Yes
C00108,Nok H.,Consumer,Bangkok,Nonthaburi,2023-01-31,Female,35-44,Yes
C00109,Wichai L.,Consumer,Central,Rayong,2021-08-23,Female,35-44,No
C00110,Noon R.,Consumer,Bangkok,Samut Prakan,2022-09-24,Prefer not to say,25-34,Yes
C00111,Sofia B.,Consumer,Central,Ayutthaya,2022-11-06,Prefer not to say,35-44,No
C00112,Noon R.,Corporate,North,Chiang Rai,2023-12-16,Male,18-24,Yes
C00113,Priya V.,SMB,Northeast,Khon Kaen,2022-10-14,Prefer not to say,25-34,No
C00114,Ton M.,SMB,Northeast,Ubon Ratchathani,2023-06-11,Prefer not to say,18-24,Yes
C00115,Mei K.,SMB,Northeast,Nakhon Ratchasima,2022-12-27,Male,25-34,No
C00116,Wichai F.,Corporate,Northeast,Khon Kaen,2022-10-20,Prefer not to say,55+,No
C00117,Boon N.,Consumer,Northeast,Nakhon Ratchasima,2023-10-02,Female,35-44,Yes
C00118,Priya C.,Consumer,North,Chiang Rai,2021-09-09,Prefer not to say,25-34,No
C00119,Noon K.,Corporate,Central,Ayutthaya,2023-06-09,Male,25-34,No
C00120,James T.,Corporate,Bangkok,Samut Prakan,2021-07-18,Prefer not to say,45-54,No
C00121,Ton N.,Consumer,Bangkok,Nonthaburi,2023-05-02,Prefer not to say,35-44,Yes
C00122,Wichai V.,Corporate,South,Phuket,2022-12-30,Prefer not to say,18-24,No
C00123,Priya P.,SMB,South,Surat Thani,2022-02-12,Female,18-24,Yes
C00124,Tanawat S.,SMB,Northeast,Nakhon Ratchasima,2022-12-29,Prefer not to say,18-24,No
C00125,Prasert T.,SMB,Northeast,Ubon Ratchathani,2022-09-19,Male,18-24,No
C00126,Somchai J.,Consumer,Bangkok,Samut Prakan,2022-07-01,Prefer not to say,25-34,No
C00127,Noon T.,SMB,Northeast,Ubon Ratchathani,2023-08-25,Male,45-54,Yes
C00128,Omar G.,Consumer,North,Lampang,2023-09-15,Male,18-24,No
C00129,Noon A.,Consumer,South,Krabi,2023-07-15,Prefer not to say,18-24,No
C00130,Nok F.,Consumer,Bangkok,Samut Prakan,2023-11-27,Male,25-34,Yes
C00131,Tanawat G.,SMB,Northeast,Udon Thani,2022-09-08,Male,25-34,No
C00132,Priya V.,SMB,North,Lampang,2022-05-19,Prefer not to say,55+,No
C00133,Ploy G.,Consumer,Bangkok,Pathum Thani,2023-09-04,Male,18-24,No
C00134,Tanawat S.,SMB,Central,Rayong,2023-02-07,Male,25-34,No
C00135,Anan K.,Consumer,Bangkok,Pathum Thani,2022-08-01,Male,55+,No
C00136,Omar J.,Consumer,Bangkok,Bangkok,2023-09-26,Prefer not to say,18-24,Yes
C00137,Noon K.,Consumer,South,Phuket,2022-06-02,Prefer not to say,18-24,Yes
C00138,Anan V.,Consumer,South,Surat Thani,2021-10-01,Prefer not to say,25-34,No
C00139,Wichai B.,Consumer,Northeast,Ubon Ratchathani,2023-11-13,Male,35-44,No
C00140,Bee H.,Consumer,South,Phuket,2023-06-18,Male,25-34,Yes
C00141,Chai V.,Consumer,South,Phuket,2021-11-30,Prefer not to say,18-24,No
C00142,Noon R.,Consumer,Central,Chonburi,2022-03-22,Male,25-34,No
C00143,Fah S.,Consumer,Bangkok,Samut Prakan,2022-05-04,Female,35-44,Yes
C00144,Somchai N.,Consumer,South,Songkhla,2023-04-18,Male,45-54,Yes
C00145,Emily L.,Consumer,Northeast,Nakhon Ratchasima,2022-05-21,Male,18-24,Yes
C00146,Lucas K.,Corporate,Bangkok,Pathum Thani,2022-02-23,Prefer not to say,45-54,Yes
C00147,Ton G.,Consumer,North,Chiang Rai,2022-05-20,Female,45-54,Yes
C00148,Pim T.,Corporate,South,Phuket,2021-09-03,Female,18-24,Yes
C00149,Aek M.,Consumer,Northeast,Nakhon Ratchasima,2023-02-26,Male,35-44,Yes
C00150,Malee V.,Corporate,Bangkok,Nonthaburi,2023-10-23,Prefer not to say,35-44,Yes
C00151,Chai P.,SMB,North,Chiang Mai,2023-10-07,Prefer not to say,55+,Yes
C00152,Priya A.,SMB,South,Phuket,2023-12-21,Prefer not to say,18-24,Yes
C00153,Suda T.,Consumer,Central,Rayong,2021-09-28,Female,18-24,No
C00154,Omar L.,SMB,South,Songkhla,2023-04-19,Male,35-44,Yes
C00155,Wei M.,SMB,Northeast,Udon Thani,2021-08-09,Prefer not to say,18-24,No
C00156,Ton C.,SMB,Bangkok,Pathum Thani,2023-03-22,Female,25-34,No
C00157,Mint D.,Consumer,Northeast,Nakhon Ratchasima,2023-06-10,Male,55+,Yes
C00158,Fah F.,SMB,Central,Nakhon Pathom,2022-01-23,Male,45-54,Yes
C00159,Ton K.,Corporate,Bangkok,Pathum Thani,2023-01-28,Male,25-34,Yes
C00160,Sofia A.,Consumer,Central,Nakhon Pathom,2022-04-13,Prefer not to say,18-24,No
C00161,Sofia A.,Consumer,Central,Nakhon Pathom,2023-10-01,Female,25-34,Yes
C00162,Prasert C.,SMB,North,Chiang Rai,2022-01-15,Female,45-54,No
C00163,Mint P.,Corporate,North,Chiang Rai,2023-08-20,Female,35-44,Yes
C00164,Emily S.,SMB,Bangkok,Pathum Thani,2023-06-24,Female,25-34,No
C00165,Suda F.,SMB,Bangkok,Nonthaburi,2022-04-08,Female,25-34,No
C00166,Krit E.,Consumer,Northeast,Nakhon Ratchasima,2021-10-12,Female,25-34,No
C00167,Tanawat C.,Consumer,Central,Nakhon Pathom,2022-07-20,Prefer not to say,18-24,No
C00168,Priya F.,Corporate,South,Songkhla,2023-10-02,Female,45-54,Yes
C00169,Aek C.,SMB,Northeast,Udon Thani,2021-08-26,Male,18-24,Yes
C00170,Pim S.,Consumer,Central,Ayutthaya,2023-11-18,Female,55+,Yes
C00171,Wichai N.,Corporate,Northeast,Nakhon Ratchasima,2022-09-19,Prefer not to say,25-34,No
C00172,Aek N.,SMB,North,Chiang Mai,2022-12-08,Female,55+,Yes
C00173,Nok E.,Corporate,South,Phuket,2023-03-20,Male,35-44,Yes
C00174,Malee T.,Consumer,North,Phitsanulok,2022-11-20,Female,45-54,Yes
C00175,Wei P.,Consumer,Central,Chonburi,2022-03-09,Prefer not to say,25-34,No
C00176,Prasert H.,Corporate,Bangkok,Samut Prakan,2022-06-18,Prefer not to say,25-34,No
C00177,Chai K.,Consumer,Northeast,Udon Thani,2023-10-24,Female,45-54,No
C00178,Mei E.,SMB,Northeast,Udon Thani,2022-07-04,Female,55+,Yes
C00179,Krit S.,SMB,South,Krabi,2023-09-24,Female,25-34,Yes
C00180,Nok H.,Consumer,Bangkok,Nonthaburi,2023-09-03,Female,25-34,No
C00181,Mint K.,Consumer,Central,Rayong,2022-02-19,Prefer not to say,35-44,No
C00182,Noon E.,Consumer,Bangkok,Nonthaburi,2022-01-17,Prefer not to say,25-34,No
C00183,Lucas W.,SMB,North,Phitsanulok,2023-03-28,Male,18-24,Yes
C00184,Kanya J.,Consumer,Bangkok,Bangkok,2023-06-07,Prefer not to say,25-34,No
C00185,Chai J.,SMB,Central,Nakhon Pathom,2023-01-13,Prefer not to say,55+,Yes
C00186,Omar N.,Consumer,North,Chiang Rai,2021-08-30,Female,25-34,No
C00187,Tanawat H.,Consumer,Central,Rayong,2021-09-25,Male,55+,No
C00188,Noon D.,Consumer,North,Chiang Rai,2021-09-16,Prefer not to say,55+,Yes
C00189,Boon C.,Consumer,South,Surat Thani,2022-11-10,Female,55+,Yes
C00190,Ploy T.,SMB,North,Phitsanulok,2023-04-12,Female,35-44,No
C00191,Emily L.,SMB,North,Lampang,2023-07-28,Female,55+,Yes
C00192,Chai T.,Consumer,North,Chiang Mai,2021-10-31,Female,35-44,No
C00193,Sofia V.,Consumer,Central,Rayong,2023-11-08,Female,55+,Yes
C00194,Nok R.,Consumer,Bangkok,Nonthaburi,2021-08-12,Male,45-54,Yes
C00195,Wichai C.,SMB,Bangkok,Pathum Thani,2021-10-15,Prefer not to say,35-44,Yes
C00196,Tanawat B.,Corporate,South,Krabi,2021-09-24,Male,35-44,Yes
C00197,Tanawat H.,Consumer,North,Phitsanulok,2022-12-20,Prefer not to say,35-44,Yes
C00198,Kanya G.,Consumer,Bangkok,Samut Prakan,2022-03-14,Prefer not to say,45-54,Yes
C00199,Bee B.,Consumer,Central,Nakhon Pathom,2023-11-24,Prefer not to say,35-44,No
C00200,Nok N.,Consumer,North,Lampang,2023-09-28,Prefer not to say,55+,No
C00201,Wichai G.,SMB,Northeast,Nakhon Ratchasima,2023-03-27,Male,25-34,No
C00202,Fah M.,Consumer,North,Chiang Rai,2022-04-19,Female,55+,No
C00203,Somchai P.,Corporate,Central,Rayong,2023-01-26,Male,45-54,Yes
C00204,Wei C.,Consumer,Northeast,Nakhon Ratchasima,2023-11-05,Female,45-54,No
C00205,Malee C.,Consumer,Central,Chonburi,2023-11-08,Male,45-54,No
C00206,Prasert T.,Corporate,North,Chiang Mai,2023-08-06,Male,18-24,No
C00207,Omar K.,Consumer,Northeast,Udon Thani,2021-11-12,Female,45-54,No
C00208,Bee W.,SMB,Northeast,Nakhon Ratchasima,2022-08-20,Prefer not to say,25-34,Yes
C00209,Lucas V.,Consumer,Central,Rayong,2022-05-11,Female,25-34,Yes
C00210,Wei R.,Consumer,South,Songkhla,2022-10-15,Female,25-34,No
C00211,Aek J.,Consumer,Northeast,Ubon Ratchathani,2021-08-28,Prefer not to say,25-34,No
C00212,Ploy K.,Consumer,North,Lampang,2022-12-03,Prefer not to say,55+,Yes
C00213,Emily W.,Consumer,Bangkok,Samut Prakan,2023-01-21,Male,25-34,Yes
C00214,Ahmed B.,Consumer,Northeast,Khon Kaen,2023-04-02,Prefer not to say,55+,No
C00215,Lucas C.,Consumer,Central,Nakhon Pathom,2022-11-02,Male,35-44,Yes
C00216,Tanawat A.,Consumer,North,Lampang,2021-11-05,Male,25-34,No
C00217,Fah H.,SMB,North,Phitsanulok,2023-03-16,Male,25-34,Yes
C00218,Pim K.,Consumer,Central,Nakhon Pathom,2023-12-13,Male,25-34,No
C00219,Priya E.,Consumer,Central,Ayutthaya,2022-03-08,Male,25-34,Yes
C00220,Ploy H.,SMB,South,Songkhla,2023-03-27,Female,45-54,No
C00221,Suda T.,SMB,South,Surat Thani,2022-12-08,Female,35-44,Yes
C00222,Pim T.,Consumer,South,Surat Thani,2021-09-19,Female,35-44,Yes
C00223,Fah L.,Consumer,Bangkok,Pathum Thani,2021-08-20,Female,45-54,Yes
C00224,Kanya L.,Corporate,Bangkok,Samut Prakan,2022-07-15,Prefer not to say,35-44,Yes
C00225,James W.,Consumer,North,Phitsanulok,2021-08-10,Male,45-54,Yes
C00226,Ton J.,SMB,Central,Chonburi,2023-03-19,Male,35-44,No
C00227,Wei N.,SMB,Bangkok,Bangkok,2023-03-07,Female,55+,Yes
C00228,Fah J.,Consumer,Bangkok,Pathum Thani,2022-10-14,Male,35-44,Yes
C00229,Bee S.,Consumer,Bangkok,Bangkok,2023-01-15,Male,55+,No
C00230,Aek B.,Consumer,Central,Nakhon Pathom,2021-10-08,Female,55+,Yes
C00231,Aek F.,SMB,Northeast,Khon Kaen,2022-09-18,Prefer not to say,45-54,No
C00232,Fah K.,Consumer,Central,Nakhon Pathom,2022-10-23,Female,18-24,No
C00233,Yuki A.,Corporate,Central,Ayutthaya,2022-11-17,Male,25-34,No
C00234,Mint F.,Consumer,Bangkok,Nonthaburi,2022-10-30,Female,45-54,Yes
C00235,Krit H.,Consumer,Bangkok,Pathum Thani,2022-07-03,Prefer not to say,55+,Yes
C00236,Fah N.,Corporate,South,Krabi,2023-11-09,Female,45-54,No
C00237,Ahmed G.,Consumer,North,Chiang Mai,2023-02-10,Prefer not to say,45-54,No
C00238,Chai L.,Consumer,North,Chiang Rai,2022-02-11,Female,35-44,Yes
C00239,Wichai P.,Consumer,South,Krabi,2023-03-02,Male,45-54,Yes
C00240,Chai R.,Consumer,Bangkok,Samut Prakan,2022-05-05,Female,18-24,No
C00241,Pim W.,Consumer,North,Lampang,2021-08-20,Prefer not to say,18-24,No
C00242,Aek F.,Corporate,Central,Ayutthaya,2022-10-23,Prefer not to say,35-44,Yes
C00243,Ahmed A.,Consumer,Central,Ayutthaya,2021-08-06,Prefer not to say,45-54,Yes
C00244,Chai L.,Consumer,South,Surat Thani,2023-03-21,Female,55+,No
C00245,Malee E.,SMB,Bangkok,Nonthaburi,2023-04-21,Male,18-24,Yes
C00246,Noon E.,Corporate,South,Krabi,2022-02-08,Male,35-44,Yes
C00247,Omar T.,Consumer,Northeast,Udon Thani,2021-07-24,Prefer not to say,25-34,Yes
C00248,Mei M.,Consumer,Central,Rayong,2021-08-18,Prefer not to say,18-24,No
C00249,Chai L.,Corporate,Northeast,Khon Kaen,2023-01-12,Female,25-34,Yes
C00250,Priya N.,Consumer,North,Chiang Rai,2023-04-15,Female,35-44,Yes
C00251,Wichai V.,Consumer,North,Chiang Rai,2021-08-25,Male,55+,Yes
C00252,Emily A.,Consumer,Central,Chonburi,2022-09-13,Prefer not to say,35-44,Yes
C00253,Wichai G.,Consumer,Central,Rayong,2022-02-26,Male,18-24,No
C00254,James V.,Consumer,South,Krabi,2022-09-15,Prefer not to say,35-44,Yes
C00255,Kanya F.,Corporate,Central,Ayutthaya,2023-06-25,Male,55+,Yes
C00256,Suda F.,Consumer,Central,Ayutthaya,2022-09-17,Male,55+,Yes
C00257,Bee M.,Consumer,Bangkok,Samut Prakan,2023-02-08,Prefer not to say,35-44,No
C00258,Tanawat C.,Consumer,North,Lampang,2022-06-12,Male,18-24,Yes
C00259,Suda T.,Consumer,South,Phuket,2023-10-24,Male,55+,No
C00260,Ton M.,Corporate,South,Songkhla,2022-07-31,Male,55+,Yes
C00261,Aek M.,SMB,Central,Nakhon Pathom,2022-08-04,Female,45-54,Yes
C00262,Chai V.,SMB,Bangkok,Pathum Thani,2023-02-10,Prefer not to say,18-24,No
C00263,Prasert M.,SMB,Central,Ayutthaya,2022-04-10,Female,55+,Yes
C00264,Suda E.,Consumer,Bangkok,Pathum Thani,2022-04-01,Male,35-44,Yes
C00265,Wichai R.,Consumer,Central,Nakhon Pathom,2021-11-24,Female,18-24,Yes
C00266,Boon P.,SMB,South,Surat Thani,2021-09-11,Male,45-54,No
C00267,Mei P.,Consumer,North,Phitsanulok,2023-05-19,Prefer not to say,25-34,No
C00268,Malee T.,Consumer,Bangkok,Pathum Thani,2023-12-21,Female,55+,Yes
C00269,James M.,Consumer,Northeast,Udon Thani,2023-05-02,Prefer not to say,45-54,No
C00270,Fah L.,SMB,North,Phitsanulok,2022-10-31,Female,55+,No
C00271,Wichai R.,Consumer,Northeast,Udon Thani,2023-12-30,Female,45-54,No
C00272,Ploy P.,SMB,North,Lampang,2022-09-24,Female,35-44,No
C00273,Ahmed J.,Consumer,Northeast,Udon Thani,2021-12-08,Male,45-54,No
C00274,Chai W.,Consumer,South,Krabi,2022-01-09,Male,25-34,Yes
C00275,Yuki B.,Consumer,Bangkok,Samut Prakan,2022-05-02,Female,35-44,Yes
C00276,Tanawat H.,Corporate,Bangkok,Bangkok,2022-07-10,Prefer not to say,35-44,Yes
C00277,Fah P.,Consumer,Bangkok,Nonthaburi,2022-12-19,Prefer not to say,35-44,Yes
C00278,Emily V.,Consumer,Bangkok,Bangkok,2022-09-30,Male,18-24,No
C00279,Emily B.,Consumer,Central,Nakhon Pathom,2022-11-13,Male,45-54,Yes
C00280,Ton H.,SMB,Northeast,Nakhon Ratchasima,2023-01-10,Prefer not to say,25-34,Yes
C00281,Yuki P.,SMB,North,Chiang Rai,2021-09-17,Female,45-54,Yes
C00282,Suda C.,Consumer,Northeast,Udon Thani,2021-08-07,Male,55+,No
C00283,Krit M.,SMB,South,Songkhla,2022-03-20,Prefer not to say,35-44,No
C00284,Nok D.,SMB,Northeast,Khon Kaen,2021-08-03,Prefer not to say,18-24,No
C00285,Yuki P.,Corporate,Bangkok,Pathum Thani,2022-07-29,Male,55+,Yes
C00286,Aek J.,SMB,North,Phitsanulok,2022-08-17,Prefer not to say,18-24,Yes
C00287,Nok C.,SMB,Northeast,Ubon Ratchathani,2022-02-12,Female,35-44,Yes
C00288,Boon H.,Consumer,Northeast,Khon Kaen,2021-10-01,Male,25-34,No
C00289,Ton W.,Consumer,Bangkok,Bangkok,2023-06-20,Male,25-34,Yes
C00290,Bee N.,Corporate,South,Krabi,2022-07-23,Female,18-24,No
C00291,Suda B.,Consumer,Bangkok,Bangkok,2021-07-21,Prefer not to say,45-54,No
C00292,Noon N.,SMB,North,Lampang,2023-08-04,Female,18-24,Yes
C00293,Lucas B.,SMB,South,Phuket,2022-06-24,Male,45-54,Yes
C00294,James W.,Consumer,South,Phuket,2023-10-26,Female,55+,Yes
C00295,Boon R.,Consumer,South,Krabi,2023-10-11,Male,45-54,No
C00296,Nok M.,Consumer,Northeast,Ubon Ratchathani,2022-04-25,Female,45-54,No
C00297,Ahmed R.,Corporate,North,Phitsanulok,2023-08-16,Female,35-44,No
C00298,Fah R.,Consumer,North,Phitsanulok,2023-09-16,Male,35-44,No
C00299,Pim N.,SMB,Bangkok,Bangkok,2022-10-17,Female,45-54,Yes
C00300,Kanya B.,Corporate,Central,Ayutthaya,2022-08-14,Male,45-54,Yes
C00301,Ahmed M.,Consumer,South,Phuket,2023-04-02,Male,25-34,No
C00302,Mei M.,SMB,North,Chiang Mai,2023-02-20,Male,18-24,Yes
C00303,Krit M.,Consumer,South,Songkhla,2023-09-11,Female,35-44,No
C00304,Chai D.,Consumer,North,Chiang Mai,2021-08-13,Prefer not to say,45-54,Yes
C00305,Boon B.,Consumer,North,Lampang,2022-01-03,Female,45-54,Yes
C00306,Kanya J.,SMB,Bangkok,Samut Prakan,2023-07-29,Prefer not to say,35-44,Yes
C00307,Omar S.,Consumer,South,Songkhla,2021-09-27,Female,55+,Yes
C00308,Boon L.,SMB,South,Krabi,2022-11-15,Prefer not to say,18-24,Yes
C00309,Anan C.,Corporate,Central,Chonburi,2022-04-21,Female,45-54,Yes
C00310,Wei P.,Consumer,North,Chiang Mai,2021-10-18,Male,18-24,No
C00311,Nok T.,Consumer,Central,Rayong,2023-07-13,Female,25-34,Yes
